split,file_name,width,height,aspect_ratio,format,laplacian_variance,is_blurry,mean_brightness,exposure_status
train,BudRootDropping001.jpg,768,1024,0.750,JPEG,2832.6,False,124.4,Normal
train,BudRootDropping002.jpg,768,1024,0.750,JPEG,3242.6,False,123.6,Normal
train,BudRootDropping003.jpg,768,1024,0.750,JPEG,4176.9,False,123.0,Normal
train,BudRootDropping004.jpg,768,1024,0.750,JPEG,4938.0,False,122.1,Normal
train,BudRootDropping005.jpg,768,1024,0.750,JPEG,4778.1,False,121.9,Normal
train,BudRootDropping006.jpg,768,1024,0.750,JPEG,3062.1,False,124.0,Normal
train,BudRootDropping007.jpg,768,1024,0.750,JPEG,1001.4,False,128.8,Normal
train,BudRootDropping008.jpg,768,1024,0.750,JPEG,392.7,False,131.6,Normal
train,BudRootDropping009.jpg,768,1024,0.750,JPEG,463.3,False,131.2,Normal
train,BudRootDropping010.jpg,768,1024,0.750,JPEG,1847.0,False,120.5,Normal
train,BudRootDropping011.jpg,768,1024,0.750,JPEG,647.0,False,119.0,Normal
train,BudRootDropping012.jpg,768,1024,0.750,JPEG,470.5,False,123.6,Normal
train,BudRootDropping013.jpg,768,1024,0.750,JPEG,452.5,False,136.2,Normal
train,BudRootDropping014.jpg,768,1024,0.750,JPEG,743.5,False,140.7,Normal
train,BudRot001.jpg,768,1024,0.750,JPEG,819.1,False,118.8,Normal
train,BudRot002.jpg,768,1024,0.750,JPEG,922.8,False,117.7,Normal
train,BudRot003.jpg,768,1024,0.750,JPEG,694.0,False,117.9,Normal
train,BudRot004.jpg,768,1024,0.750,JPEG,613.5,False,115.3,Normal
train,BudRot005.jpg,768,1024,0.750,JPEG,619.2,False,115.3,Normal
train,BudRot006.jpg,768,1024,0.750,JPEG,709.7,False,114.8,Normal
train,BudRot007.jpg,768,1024,0.750,JPEG,687.5,False,115.5,Normal
train,BudRot008.jpg,768,1024,0.750,JPEG,773.6,False,116.9,Normal
train,BudRot009.jpg,768,1024,0.750,JPEG,605.4,False,118.0,Normal
train,BudRot010.jpg,768,1024,0.750,JPEG,522.7,False,118.3,Normal
train,BudRot011.jpg,768,1024,0.750,JPEG,743.8,False,117.3,Normal
train,BudRot012.jpg,768,1024,0.750,JPEG,559.6,False,118.6,Normal
train,BudRot013.jpg,768,1024,0.750,JPEG,579.4,False,119.3,Normal
train,BudRot014.jpg,768,1024,0.750,JPEG,633.6,False,120.0,Normal
train,GrayLeafSpot001.jpg,768,1024,0.750,JPEG,106.6,False,93.7,Normal
train,GrayLeafSpot002.jpg,768,1024,0.750,JPEG,148.0,False,92.1,Normal
