model_id,class_name,tp,fp,fn,tn,total_gt,precision,recall,f1,ap50,ap50_95,official_precision,official_recall
EXP-001_baseline_yolov8n,bud root dropping,0,0,4,5,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EXP-001_baseline_yolov8n,bud rot,0,0,1,5,1,0.0,0.0,0.0,0.995,0.6965,0.5192,1.0
EXP-001_baseline_yolov8n,gray leaf spot,0,0,4,5,4,0.0,0.0,0.0,0.1864,0.0437,1.0,0.0
EXP-001_baseline_yolov8n,leaf rot,0,0,2,5,2,0.0,0.0,0.0,0.995,0.461,1.0,0.0
EXP-001_baseline_yolov8n,stembleeding,0,0,0,5,1,0.0,0.0,0.0,0.995,0.6302,0.5607,1.0
EXP-002_imgsz512,bud root dropping,0,0,4,5,4,0.0,0.0,0.0,0.1486,0.0772,1.0,0.0
EXP-002_imgsz512,bud rot,0,0,1,5,1,0.0,0.0,0.0,0.995,0.2985,0.6323,1.0
EXP-002_imgsz512,gray leaf spot,0,0,4,5,4,0.0,0.0,0.0,0.2974,0.0546,1.0,0.0
EXP-002_imgsz512,leaf rot,0,0,0,5,2,0.0,0.0,0.0,0.995,0.3862,0.8899,1.0
EXP-002_imgsz512,stembleeding,0,0,1,5,1,0.0,0.0,0.0,0.995,0.4189,1.0,0.0
