model_id,perturbation_group,perturbation_name,param,tp,fp,fn,precision,recall,f1,elapsed_s
EXP-001_baseline_yolov8n,baseline,none,0,0,0,30,0.0,0.0,0.0,10.87
EXP-001_baseline_yolov8n,gaussian_blur,sigma_1,1,0,0,30,0.0,0.0,0.0,5.88
EXP-001_baseline_yolov8n,gaussian_blur,sigma_2,2,0,0,30,0.0,0.0,0.0,5.79
EXP-001_baseline_yolov8n,gaussian_blur,sigma_3,3,0,0,30,0.0,0.0,0.0,5.95
EXP-001_baseline_yolov8n,gaussian_noise,std_10,10,0,0,30,0.0,0.0,0.0,10.8
EXP-001_baseline_yolov8n,gaussian_noise,std_25,25,0,0,30,0.0,0.0,0.0,11.04
EXP-001_baseline_yolov8n,gaussian_noise,std_50,50,2,14,28,0.125,0.0667,0.087,14.32
EXP-001_baseline_yolov8n,brightness,factor_0.5,0.5,1,0,29,1.0,0.0333,0.0645,7.93
EXP-001_baseline_yolov8n,brightness,factor_0.75,0.75,1,0,29,1.0,0.0333,0.0645,8.07
EXP-001_baseline_yolov8n,brightness,factor_1.25,1.25,0,0,30,0.0,0.0,0.0,7.03
EXP-001_baseline_yolov8n,brightness,factor_1.5,1.5,1,0,29,1.0,0.0333,0.0645,6.49
EXP-001_baseline_yolov8n,jpeg_compression,quality_80,80,0,0,30,0.0,0.0,0.0,6.54
EXP-001_baseline_yolov8n,jpeg_compression,quality_60,60,0,0,30,0.0,0.0,0.0,7.93
EXP-001_baseline_yolov8n,jpeg_compression,quality_40,40,0,0,30,0.0,0.0,0.0,5.94
EXP-001_baseline_yolov8n,jpeg_compression,quality_20,20,1,0,29,1.0,0.0333,0.0645,5.43
EXP-002_imgsz512,baseline,none,0,3,3,27,0.5,0.1,0.1667,4.67
EXP-002_imgsz512,gaussian_blur,sigma_1,1,3,2,27,0.6,0.1,0.1714,4.43
EXP-002_imgsz512,gaussian_blur,sigma_2,2,3,2,27,0.6,0.1,0.1714,4.32
EXP-002_imgsz512,gaussian_blur,sigma_3,3,3,2,27,0.6,0.1,0.1714,4.6
EXP-002_imgsz512,gaussian_noise,std_10,10,3,3,27,0.5,0.1,0.1667,9.25
EXP-002_imgsz512,gaussian_noise,std_25,25,0,0,30,0.0,0.0,0.0,10.27
EXP-002_imgsz512,gaussian_noise,std_50,50,0,0,30,0.0,0.0,0.0,9.71
EXP-002_imgsz512,brightness,factor_0.5,0.5,3,3,27,0.5,0.1,0.1667,4.76
EXP-002_imgsz512,brightness,factor_0.75,0.75,3,1,27,0.75,0.1,0.1765,4.92
EXP-002_imgsz512,brightness,factor_1.25,1.25,3,2,27,0.6,0.1,0.1714,4.61
EXP-002_imgsz512,brightness,factor_1.5,1.5,2,1,28,0.6667,0.0667,0.1212,4.7
EXP-002_imgsz512,jpeg_compression,quality_80,80,3,3,27,0.5,0.1,0.1667,4.75
EXP-002_imgsz512,jpeg_compression,quality_60,60,3,3,27,0.5,0.1,0.1667,4.67
EXP-002_imgsz512,jpeg_compression,quality_40,40,3,4,27,0.4286,0.1,0.1622,5.13
EXP-002_imgsz512,jpeg_compression,quality_20,20,3,3,27,0.5,0.1,0.1667,6.37
