model_id,conf_threshold,class_id,class_name,tp,fp,fn,precision,recall,f1
EXP-001_baseline_yolov8n,0.05,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.05,1,bud rot,3,2,2,0.6,0.6,0.6
EXP-001_baseline_yolov8n,0.05,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.05,3,leaf rot,3,3,0,0.5,1.0,0.6667
EXP-001_baseline_yolov8n,0.05,4,stembleeding,8,23,0,0.2581,1.0,0.4103
EXP-001_baseline_yolov8n,0.1,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.1,1,bud rot,2,0,3,1.0,0.4,0.5714
EXP-001_baseline_yolov8n,0.1,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.1,3,leaf rot,1,0,2,1.0,0.3333,0.5
EXP-001_baseline_yolov8n,0.1,4,stembleeding,8,4,0,0.6667,1.0,0.8
EXP-001_baseline_yolov8n,0.15,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.15,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.15,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.15,3,leaf rot,1,0,2,1.0,0.3333,0.5
EXP-001_baseline_yolov8n,0.15,4,stembleeding,7,0,1,1.0,0.875,0.9333
EXP-001_baseline_yolov8n,0.2,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.2,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.2,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.2,3,leaf rot,1,0,2,1.0,0.3333,0.5
EXP-001_baseline_yolov8n,0.2,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.25,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.25,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.25,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.25,3,leaf rot,0,0,3,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.25,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.3,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.3,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.3,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.3,3,leaf rot,0,0,3,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.3,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.35,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.35,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.35,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.35,3,leaf rot,0,0,3,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.35,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.4,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.4,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.4,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.4,3,leaf rot,0,0,3,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.4,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.45,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.45,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.45,2,gray leaf spot,0,0,6,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.45,3,leaf rot,0,0,3,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.45,4,stembleeding,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.5,0,bud root dropping,0,0,8,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.5,1,bud rot,0,0,5,0.0,0.0,0.0
EXP-001_baseline_yolov8n,0.5,2,gray leaf spot,0,0,6,0.0,0.0,0.0
