model_id,conf_threshold,tp,fp,fn,precision,recall,f1,elapsed_s
EXP-001_baseline_yolov8n,0.05,14,28,16,0.3333,0.4667,0.3889,5.86
EXP-001_baseline_yolov8n,0.1,11,4,19,0.7333,0.3667,0.4889,3.7
EXP-001_baseline_yolov8n,0.15,8,0,22,1.0,0.2667,0.4211,3.7
EXP-001_baseline_yolov8n,0.2,1,0,29,1.0,0.0333,0.0645,3.68
EXP-001_baseline_yolov8n,0.25,0,0,30,0.0,0.0,0.0,3.54
EXP-001_baseline_yolov8n,0.3,0,0,30,0.0,0.0,0.0,3.55
EXP-001_baseline_yolov8n,0.35,0,0,30,0.0,0.0,0.0,3.76
EXP-001_baseline_yolov8n,0.4,0,0,30,0.0,0.0,0.0,3.49
EXP-001_baseline_yolov8n,0.45,0,0,30,0.0,0.0,0.0,3.64
EXP-001_baseline_yolov8n,0.5,0,0,30,0.0,0.0,0.0,3.87
EXP-001_baseline_yolov8n,0.55,0,0,30,0.0,0.0,0.0,3.64
EXP-001_baseline_yolov8n,0.6,0,0,30,0.0,0.0,0.0,3.62
EXP-001_baseline_yolov8n,0.65,0,0,30,0.0,0.0,0.0,3.67
EXP-001_baseline_yolov8n,0.7,0,0,30,0.0,0.0,0.0,3.67
EXP-001_baseline_yolov8n,0.75,0,0,30,0.0,0.0,0.0,4.11
EXP-001_baseline_yolov8n,0.8,0,0,30,0.0,0.0,0.0,4.92
EXP-001_baseline_yolov8n,0.85,0,0,30,0.0,0.0,0.0,4.16
EXP-001_baseline_yolov8n,0.9,0,0,30,0.0,0.0,0.0,3.61
EXP-002_imgsz512,0.05,8,31,22,0.2051,0.2667,0.2319,2.99
EXP-002_imgsz512,0.1,8,11,22,0.4211,0.2667,0.3265,2.78
EXP-002_imgsz512,0.15,7,6,23,0.5385,0.2333,0.3256,2.78
EXP-002_imgsz512,0.2,3,4,27,0.4286,0.1,0.1622,2.74
EXP-002_imgsz512,0.25,3,3,27,0.5,0.1,0.1667,2.84
EXP-002_imgsz512,0.3,2,2,28,0.5,0.0667,0.1176,3.26
EXP-002_imgsz512,0.35,1,0,29,1.0,0.0333,0.0645,3.52
EXP-002_imgsz512,0.4,0,0,30,0.0,0.0,0.0,3.9
EXP-002_imgsz512,0.45,0,0,30,0.0,0.0,0.0,4.49
EXP-002_imgsz512,0.5,0,0,30,0.0,0.0,0.0,3.28
EXP-002_imgsz512,0.55,0,0,30,0.0,0.0,0.0,4.08
EXP-002_imgsz512,0.6,0,0,30,0.0,0.0,0.0,5.78
EXP-002_imgsz512,0.65,0,0,30,0.0,0.0,0.0,3.85
EXP-002_imgsz512,0.7,0,0,30,0.0,0.0,0.0,4.55
EXP-002_imgsz512,0.75,0,0,30,0.0,0.0,0.0,4.01
EXP-002_imgsz512,0.8,0,0,30,0.0,0.0,0.0,3.47
EXP-002_imgsz512,0.85,0,0,30,0.0,0.0,0.0,3.28
EXP-002_imgsz512,0.9,0,0,30,0.0,0.0,0.0,3.26
