epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6428,2.54398,5.21929,2.83755,0.00021,0.12,0.00265,0.00046,1.42611,7.20324,1.90619,0.000285714,0.000285714,0.0717143
2,114.449,2.30013,4.5519,2.60967,0.00154,0.28,0.00116,0.00039,1.35469,6.31448,1.34277,0.00057819,0.00057819,0.0386734
3,169.504,1.94481,3.99105,2.35009,0.00162,0.32,0.05454,0.0141,1.34477,6.05387,1.39607,0.000826667,0.000826667,0.00558857
4,220.996,2.04546,3.84691,2.33387,0.00188,0.4,0.18163,0.04701,1.36156,5.80555,1.5097,0.000802,0.000802,0.000802
5,266.23,1.97632,3.53057,2.29112,0.00145,0.4,0.0957,0.04054,1.33701,5.71649,1.48993,0.000736,0.000736,0.000736
6,310.212,1.82963,4.52923,2.2846,0.00227,0.43333,0.22675,0.08349,1.2498,5.50268,1.42599,0.00067,0.00067,0.00067
7,354.702,1.79997,3.98108,2.41068,0.00801,0.69333,0.18123,0.06388,0.94769,5.34862,1.22751,0.000604,0.000604,0.000604
8,398.796,1.96955,3.96998,2.56823,0.99469,0.2,0.37845,0.13484,0.96192,5.11101,1.32924,0.000538,0.000538,0.000538
9,443.987,1.7284,3.49382,2.26631,0.94299,0.2,0.42635,0.15541,0.97357,5.07336,1.32042,0.000472,0.000472,0.000472
10,491.481,1.69476,3.51954,2.20076,0.72658,0.19667,0.35521,0.15928,1.04466,5.16486,1.29629,0.000406,0.000406,0.000406
11,541.233,1.56337,3.33772,2.13099,0.81998,0.29725,0.45989,0.18259,1.10076,5.10113,1.30166,0.00034,0.00034,0.00034
12,588.906,1.62315,3.44259,2.17384,0.87492,0.40638,0.62981,0.30779,0.89571,5.04378,1.12588,0.000274,0.000274,0.000274
13,635.209,1.61221,3.19765,2.08129,0.87376,0.47182,0.61604,0.31902,0.85426,5.00925,1.1005,0.000208,0.000208,0.000208
14,681.726,1.59844,3.21053,2.08157,0.86888,0.49875,0.60244,0.29431,0.81121,4.83267,1.10358,0.000142,0.000142,0.000142
15,726.882,1.56324,3.19979,1.98598,0.91603,0.51017,0.60296,0.30619,0.79716,4.78406,1.08007,7.6e-05,7.6e-05,7.6e-05
