epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4752,2.71991,4.64054,2.74867,5e-05,0.06667,3e-05,0,1.65816,6.3074,1.63478,0.000285714,0.000285714,0.0717143
2,63.6803,2.23733,4.28058,2.36143,6e-05,0.2,0.00028,7e-05,1.43417,5.80969,1.47656,0.00057819,0.00057819,0.0386734
3,95.4717,2.24874,4.01002,2.33618,0.00209,0.33333,0.01597,0.00544,1.23401,5.8197,1.3286,0.000826667,0.000826667,0.00558857
4,124.951,2.03924,3.56415,2.18268,0.00987,0.4,0.09868,0.03968,1.21905,5.62716,1.40906,0.000802,0.000802,0.000802
5,154.112,2.10613,3.56548,2.24827,0.00059,0.2,0.01235,0.00263,1.36343,5.55717,1.57044,0.000736,0.000736,0.000736
6,185.722,1.93997,4.06258,2.27703,0.00204,0.5,0.17269,0.04699,1.3884,5.28551,1.52715,0.00067,0.00067,0.00067
7,216.882,2.07232,4.04938,2.38298,0.00541,0.68333,0.23145,0.05712,1.32943,5.0662,1.40819,0.000604,0.000604,0.000604
8,250.238,1.96937,3.82082,2.27695,0.00593,0.76667,0.19753,0.04259,1.13251,4.92431,1.18837,0.000538,0.000538,0.000538
9,281.838,1.7471,3.5891,2.21597,0.00615,0.85,0.15162,0.02885,1.04883,4.80615,1.24804,0.000472,0.000472,0.000472
10,314.536,1.72341,3.33623,2.18951,0.00537,0.9,0.22925,0.09111,1.059,4.89216,1.29574,0.000406,0.000406,0.000406
11,346.693,1.68132,3.23293,2.0424,0.28925,0.525,0.27904,0.09946,1.04482,5.19726,1.37173,0.00034,0.00034,0.00034
12,380.39,1.75846,3.38774,2.06394,0.75249,0.34258,0.29451,0.11125,1.00717,5.12267,1.22903,0.000274,0.000274,0.000274
13,413.035,1.63872,3.09102,2.00379,0.74624,0.4,0.46992,0.1739,0.98983,5.06168,1.18472,0.000208,0.000208,0.000208
14,445.473,1.58713,3.0204,1.92118,0.77803,0.36,0.54186,0.2377,0.97792,4.93103,1.14041,0.000142,0.000142,0.000142
15,479.012,1.66419,3.08511,1.93039,0.8189,0.36,0.57152,0.25941,0.93984,4.91593,1.08933,7.6e-05,7.6e-05,7.6e-05
