dataset_name,source_url,license,download_date,file_name,file_size,sha256,version,notes
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping001.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping001.jpg,259823,8721bae7918847643263177bd7cb71edc53cd300bd617383f7fbf70da898d339,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping002.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping002.jpg,263628,ea270f34e4b812a7bf726ad67ec80820e56b58db3577773134c3a54ef2388ed4,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping003.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping003.jpg,282367,b1e83eb0c0b9470ae960ac11e03f727e594b651b4a1867e45faeaa1c4423768b,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping004.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping004.jpg,287515,8b45d36694347695346d457276e9f3b961785e51165253320a92c0ccde12e012,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping005.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping005.jpg,286348,db7fb1a828faf7a0c38d95a885d0908aa7df9dc1735124c7c2b555e2799e5d86,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping006.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping006.jpg,259067,81b5e55bcc5e1ffc510f86b963a1a0a6613c1d3d21555615e0e803be5b5967b9,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping007.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping007.jpg,198346,25ff219e2a2737ef658fa7eab042487e4f1c9cb2e9e60eb0b196ae6a4f5f2028,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping008.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping008.jpg,144553,9ee917c28b30c3629449aba948bd2816f18e8d87c8bf6cc49c650391439e16d0,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping009.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping009.jpg,152234,feb74a6e83d2dc5f63d6add91a103223bf176cfc20c3563affa3a90541cd0fb9,1.0,Authentic raw sample: Bud Root Dropping
Coconut Tree Disease Dataset (Mendeley Data / Patil et al.),https://raw.githubusercontent.com/zahid16-code/cocunut-disease-prediction/master/Coconut%20Tree%20Disease%20Dataset/Bud%20Root%20Dropping/BudRootDropping010.jpg,CC BY 4.0,2026-09-20 03:28:10 UTC,mendeley_coconut_disease/Bud Root Dropping/BudRootDropping010.jpg,243174,94c1c2d6fb90b30d1d221f92dc8de32d927f5eccc3340ad227d48bc8db8b8397,1.0,Authentic raw sample: Bud Root Dropping
